Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Hayes and Harlington;John McDonnell;11;Hillingdon;57493;8162;19009;3174;0;0;2044
Hazel Grove;Andrew Stunell;4;Eastern Manchester;64376;11607;6834;19355;0;0;1321
Hemel Hempstead;Michael Penning;9;Hertfordshire;73095;19000;18501;8089;0;0;1518
Hemsworth;Jon Trickett;5;West Yorkshire;67339;8149;21630;5766;0;0;1247
Hendon;Andrew Dismore;11;Barnet;71764;15897;18596;5831;0;0;1515
Henley;Boris Johnson;12;Oxfordshire;68538;24894;6862;12101;0;0;2680
Hereford;Paul Keetch;7;Hereford and Worcestershire;71813;19323;4800;20285;0;0;2486
Hertford and Stortford;Mark Prisk;9;Hertfordshire;73394;25074;11977;9129;0;0;3512
Hertfordshire North East;Oliver Heald;9;Hertfordshire;72190;22402;13264;10147;0;0;1561
Hertfordshire South West;David Gauke;9;Hertfordshire;73170;23494;10466;15021;0;0;1107
Hertsmere;James Clappison;9;Hertfordshire;67572;22665;11572;7817;0;0;518
Hexham;Peter Atkinson;3;Northumberland;60374;17605;12585;10673;0;0;650
Heywood and Middleton;Jim Dobbin;4;Eastern Manchester;71510;8355;19438;7261;0;0;3999
High Peak;Tom Levitt;8;Derbyshire;75275;19074;19809;10000;0;0;1106
Hitchin and Harpenden;Peter Lilley;9;Hertfordshire;67207;23627;10499;12234;0;0;1027
Holborn and St Pancras;Frank Dobson;11;Camden;68237;6482;14857;10070;0;0;2950
Hornchurch;James Brokenshire;11;Havering;59773;16355;15875;2894;0;0;3045
Hornsey and Wood Green;Lynne Featherstone;11;Haringey;76621;6014;18117;20512;0;0;2687
Horsham;Francis Maude;12;West Sussex;80974;27240;9320;14613;0;0;3322
Houghton and Washington East;Fraser Kemp;3;Newcastle area;67089;4772;22310;6245;0;0;1367
Hove;Celia Barlow;12;East Sussex;69939;16366;16786;8002;0;0;3642
Huddersfield;Barry Sheerman;5;West Yorkshire;61723;7597;16341;7990;0;0;3012
Hull East;John Prescott;5;Humber area;65407;4138;17609;5862;0;0;3513
Hull North;Diana Johnson;5;Humber area;62590;3822;15364;8013;0;0;2385
Hull West and Hessle;Alan Johnson;5;Humber area;61494;5769;15305;5855;0;0;889
Huntingdon;Jonathan Djanogly;9;Cambridgeshire;83843;26646;9821;13799;0;0;2152
Hyndburn;Greg Pope;4;Lancashire;67086;12549;18136;5577;0;0;3187
Ilford North;Lee Scott;11;Redbridge;70718;18781;17128;5896;0;0;1195
Ilford South;Mike Gapes;11;Redbridge;79639;11628;20856;8761;0;0;1448
Ipswich;Chris Mole;9;Suffolk;68825;13004;18336;8464;0;0;2074
Isle of Wight;Andrew Turner;12;Hampshire;109046;32717;11484;19739;0;0;2903
Islington North;Jeremy Corbyn;11;Islington;58427;3740;16118;9402;0;0;2234
Islington South and Finsbury;Emily Thornberry;11;Islington;57748;4594;12345;11861;0;0;2161
Jarrow;Stephen Hepburn;3;Newcastle area;61814;4807;20554;6650;0;0;1967
Keighley;Ann Cryer;5;West Yorkshire;68229;15868;20720;5484;0;0;4240
Kensington and Chelsea;Sir Malcolm Rifkind;11;Kensington and Chelsea;62662;18144;5521;5726;0;0;1945
Kettering;Philip Hollobone;8;Northamptonshire;81887;25401;22100;6882;0;0;1263
Kingston and Surbiton;Edward Davey;11;Kingston upon Thames;72671;16431;6553;25397;0;0;1369
Kingswood;Roger Berry;10;Bristol Area;84400;18618;26491;9089;0;0;2113
Knowsley North and Sefton East;George Howarth;4;Merseyside;70403;5064;23461;7192;0;0;1336
Knowsley South;Eddie O'Hara;4;Merseyside;70726;4492;24820;7132;0;0;0
Lancashire West;Rosie Cooper;4;Lancashire;74777;14662;20746;6059;0;0;1688
Lancaster and Wyre;Ben Wallace;4;Lancashire;80739;22266;18095;8453;0;0;3247
Leeds Central;Hilary Benn;5;West Yorkshire;62939;3865;17526;5660;0;0;2135
Leeds East;George Mudie;5;West Yorkshire;54691;5557;17799;6221;0;0;500
Leeds North East;Fabian Hamilton;5;West Yorkshire;63304;13370;18632;8427;0;0;1038
Leeds North West;Greg Mulholland;5;West Yorkshire;71644;11510;14735;16612;0;0;1854
Leeds West;John Battle;5;West Yorkshire;62882;4807;18704;5894;0;0;4313
Leicester East;Keith Vaz;8;Leicestershire;66383;8139;24015;7052;0;0;2100
Leicester South;Peter Soulsby;8;Leicestershire;72310;7549;16688;12971;0;0;5203
Leicester West;Patrica Hewitt;8;Leicestershire;62389;8114;17184;5803;0;0;2123
Leicestershire North West;David Taylor;8;Leicestershire;70519;16972;21449;5682;0;0;3037
Leigh;Andrew Burnham;4;Western Manchester;72473;5825;23097;4962;0;0;2604
Leominster;Bill Wiggin;7;Hereford and Worcestershire;72081;25407;7424;12220;0;0;3742
Lewes;Norman Baker;12;East Sussex;67073;15902;4169;24376;0;0;2105
Lewisham Deptford;Joan Ruddock;11;Lewisham;59018;3773;16902;5091;0;3367;1260
Lewisham East;Bridget Prentice;11;Lewisham;55269;7512;14263;6787;0;0;2565
Lewisham West;Jim Dowd;11;Lewisham;58349;6396;16611;6679;0;0;2237
Leyton and Wanstead;Harry Cohen;11;Waltham Forest;60444;7393;15234;8377;0;0;2268
Lichfield;Michael Fabricant;7;Staffordshire;65565;21274;14194;6804;0;0;1472
Lincoln;Gillian Merron;8;Lincolnshire;65203;12110;16724;6715;0;0;1308
Liverpool Garston;Maria Eagle;4;Merseyside;63669;3424;18900;11707;0;0;943
Liverpool Riverside;Louise Ellman;4;Merseyside;75171;2843;17951;7737;0;0;2660
Liverpool Walton;Peter Kilfoyle;4;Merseyside;62044;1655;20322;4365;0;1108;480
Liverpool Wavertree;Jane Kennedy;4;Merseyside;69189;2331;18441;13268;0;0;1131
Liverpool West Derby;Robert Wareing;4;Merseyside;64591;2567;19140;3915;0;3606;1236
Loughborough;Andy Reed;8;Leicestershire;72351;17102;19098;8258;0;0;1682
Louth and Horncastle;Sir Peter Tapsell;8;Lincolnshire;75313;21744;11848;9480;0;0;3611
Ludlow;Philip Dunne;7;Shropshire;64572;20979;4974;18952;0;0;1635
Luton North;Kelvin Hopkins;9;Bedfordshire;68175;12575;19062;6081;0;0;1404
Luton South;Margaret Moran;9;Bedfordshire;71949;10960;16610;8778;0;0;2570
Macclesfield;Sir Nicholas Winterton;4;Cheshire;72267;22628;13227;8918;0;0;848
Maidenhead;Theresa May;12;Berkshire;63978;23312;4144;17081;0;0;1313
Maidstone and The Weald;Ann Widdecombe;12;Kent;74054;25670;10814;10808;0;0;1463
Makerfield;Ian McCartney;4;Western Manchester;69039;4345;22494;3789;0;2769;2183
Maldon and Chelmsford East;John Whittingdale;9;Essex;69502;23732;11159;9270;0;0;1930
Manchester Blackley;Graham Stringer;4;Central Manchester;60229;3690;17187;5160;0;0;1554
Manchester Central;Tony Lloyd;4;Central Manchester;69656;2504;16993;7217;0;1292;1258
Manchester Gorton;Sir Gerald Kaufman;4;Central Manchester;64696;2848;15480;9672;0;0;1123
Manchester Withington;John Leech;4;Central Manchester;67781;3919;15205;15872;0;0;2461
Mansfield;Alan Meale;8;Nottinghamshire;69131;7035;18400;5316;0;6491;1034
Medway;Robert Marshall-Andrews;12;Kent;67251;17120;17333;5152;0;0;1488
Meriden;Caroline Spelman;7;Coventry and Solihull;77342;22416;15407;7113;0;0;1567
Middlesbrough;Sir Stuart Bell;3;Teesside;65924;5263;18562;5995;0;0;2320
Middlesbrough South and Cleveland East;Ashok Kumar;3;Teesside;71883;13945;21945;6049;0;0;1757
Milton Keynes North East;Mark Lancaster;12;Buckinghamshire;78758;19674;18009;9789;0;0;2632
Milton Keynes South West;Phyllis Starkey;12;Buckinghamshire;82228;16852;20862;7909;0;0;3086
Mitcham and Morden;Siobhain McDonagh;11;Merton;65172;9929;22489;5583;0;0;1867
Mole Valley;Sir Paul Beresford;12;Surrey;68181;27060;5310;15063;0;0;1982
Morecambe and Lunesdale;Geraldine Smith;4;Lancashire;67775;15563;20331;5741;0;0;0
